"song","spotify_url","spotify_track_id","n","spotify_uri"
"DIAZPORA: Yaroslava","https://open.spotify.com/track/3i36C5TQl7BEGxKDuPzMO2","3i36C5TQl7BEGxKDuPzMO2",2,"spotify:track:3i36C5TQl7BEGxKDuPzMO2"
"FRANK WOESTE: Terlingua","https://open.spotify.com/track/4YB8XnOqIm6z7S4fj0zIaf","4YB8XnOqIm6z7S4fj0zIaf",2,"spotify:track:4YB8XnOqIm6z7S4fj0zIaf"
"AARON PARKS: My Mistake","https://open.spotify.com/track/3iAQ9HZ9WNjhw9prrPP88Y","3iAQ9HZ9WNjhw9prrPP88Y",2,"spotify:track:3iAQ9HZ9WNjhw9prrPP88Y"
"HORACE PARLAN: The Lady Is a Tramp","https://open.spotify.com/track/1QhCbxPwp0dsLmexPikIe3","1QhCbxPwp0dsLmexPikIe3",2,"spotify:track:1QhCbxPwp0dsLmexPikIe3"
"FACE OF THE BASS: Majesty Time","https://open.spotify.com/track/5xULww7UQiE6GZJovr3wMj","5xULww7UQiE6GZJovr3wMj",2,"spotify:track:5xULww7UQiE6GZJovr3wMj"
"JAN KOŘÍNEK AND GROOVE: Funky Griff","https://open.spotify.com/track/246BRGFdlCFTIFxJWrmsQs","246BRGFdlCFTIFxJWrmsQs",2,"spotify:track:246BRGFdlCFTIFxJWrmsQs"
"THE UNITY SEXTET: Black Pearl","https://open.spotify.com/track/59wxALiqo90aiRxvrXH3Ah","59wxALiqo90aiRxvrXH3Ah",2,"spotify:track:59wxALiqo90aiRxvrXH3Ah"
"JOSEF VEJVODA TRIO: Audes","https://open.spotify.com/track/2LrHcWgCFB1teAVJSwCtPz","2LrHcWgCFB1teAVJSwCtPz",2,"spotify:track:2LrHcWgCFB1teAVJSwCtPz"
"JACKY TERRASSON & STEPHANE BELMONDO: First Song","https://open.spotify.com/track/2pL1f9FTGuDB7HnpRsxIkc","2pL1f9FTGuDB7HnpRsxIkc",2,"spotify:track:2pL1f9FTGuDB7HnpRsxIkc"
"ERIC LEGNINI & THE AFRO JAZZ BEAT: The Old and Grey","https://open.spotify.com/track/19DzRcAlM1a0YnKVnPeTr6","19DzRcAlM1a0YnKVnPeTr6",2,"spotify:track:19DzRcAlM1a0YnKVnPeTr6"
"KAIROS 4TET: Box Set Anti-Hero","https://open.spotify.com/track/0t7txUWIBsxcFM4bbNd1cj","0t7txUWIBsxcFM4bbNd1cj",2,"spotify:track:0t7txUWIBsxcFM4bbNd1cj"
"ERIK TRUFFAZ: Yabous","https://open.spotify.com/track/2Lo24A2mdPRKK8KO7mu4Cv","2Lo24A2mdPRKK8KO7mu4Cv",3,"spotify:track:2Lo24A2mdPRKK8KO7mu4Cv"
"JOHN SCOFIELD: Scotown","https://open.spotify.com/track/0YNc2NZaZQGHJ0K018Jxh3","0YNc2NZaZQGHJ0K018Jxh3",2,"spotify:track:0YNc2NZaZQGHJ0K018Jxh3"
"JOSÉ JAMES: Turn Me Up","https://open.spotify.com/track/1jaYkeT2TmhfCK18VJuSXA","1jaYkeT2TmhfCK18VJuSXA",2,"spotify:track:1jaYkeT2TmhfCK18VJuSXA"
"BILL FRISELL: Rumble","https://open.spotify.com/track/5waUJCkM1jT8hU0htPf7zt","5waUJCkM1jT8hU0htPf7zt",2,"spotify:track:5waUJCkM1jT8hU0htPf7zt"
"MINGUS BIG BAND: Devil Woman","https://open.spotify.com/track/4R74RRj2ghFMKgU9EQZ3iV","4R74RRj2ghFMKgU9EQZ3iV",2,"spotify:track:4R74RRj2ghFMKgU9EQZ3iV"
"KYLE EASTWOOD: The Eiger Sanction","https://open.spotify.com/track/5oqGXsrIOFfhyqYYbHlwK3","5oqGXsrIOFfhyqYYbHlwK3",2,"spotify:track:5oqGXsrIOFfhyqYYbHlwK3"
"COURTNEY PINE: Darker Than Blue","https://open.spotify.com/track/3KfB7pMmLKHPQZVYZhljuG","3KfB7pMmLKHPQZVYZhljuG",3,"spotify:track:3KfB7pMmLKHPQZVYZhljuG"
"STEPHANE BELMONDO: You Can't Go Home Again","https://open.spotify.com/track/54QU3B3dysjv7iUP4qDkWS","54QU3B3dysjv7iUP4qDkWS",2,"spotify:track:54QU3B3dysjv7iUP4qDkWS"
"LIONEL LOUEKE: Butterfly","https://open.spotify.com/track/05BUj4otQ1FjQw8KirxgLw","05BUj4otQ1FjQw8KirxgLw",2,"spotify:track:05BUj4otQ1FjQw8KirxgLw"
"TRYGVE SEIM: Birthday Song","https://open.spotify.com/track/6lPxHEHnSSey6zI4bdpe0s","6lPxHEHnSSey6zI4bdpe0s",2,"spotify:track:6lPxHEHnSSey6zI4bdpe0s"
"BEN WENDEL: Traveler","https://open.spotify.com/track/6tMw7LCz39bgjSNbC85e44","6tMw7LCz39bgjSNbC85e44",2,"spotify:track:6tMw7LCz39bgjSNbC85e44"
"VICTOR WOOTEN: Song For My Father","https://open.spotify.com/track/1sBzFfeMbTnSZBVvHwi4Iv","1sBzFfeMbTnSZBVvHwi4Iv",2,"spotify:track:1sBzFfeMbTnSZBVvHwi4Iv"
"RON AFFIF TRIO: Here And Now","https://open.spotify.com/track/6tM1O1HzJslapkWIrpbUHG","6tM1O1HzJslapkWIrpbUHG",2,"spotify:track:6tM1O1HzJslapkWIrpbUHG"
"EMIL VIKLICKÝ TRIO A SCOTT ROBINSON: Summertime","https://open.spotify.com/track/0kOWDKO6Oo7XDSUESKjs4r","0kOWDKO6Oo7XDSUESKjs4r",2,"spotify:track:0kOWDKO6Oo7XDSUESKjs4r"
"ROBERT GLASPER EXPERIMENT: Day To Day","https://open.spotify.com/track/4yBdOhdoRDGKGgMEsDAyq1","4yBdOhdoRDGKGgMEsDAyq1",2,"spotify:track:4yBdOhdoRDGKGgMEsDAyq1"
