"song","spotify_url","spotify_track_id","n","spotify_uri"
"QUEEN: LOVE OF MY LIFE","https://open.spotify.com/track/790YJcgHlN3SaosQCHlWzn","790YJcgHlN3SaosQCHlWzn",1,"spotify:track:790YJcgHlN3SaosQCHlWzn"
"BEEGEES: WORDS","https://open.spotify.com/track/07PIhdmyYIw8dMeDMsx9FU","07PIhdmyYIw8dMeDMsx9FU",1,"spotify:track:07PIhdmyYIw8dMeDMsx9FU"
"KRISTINA: KAMENNÉ MESTO","https://open.spotify.com/track/1LyjW9yT8F93bff23MJZhu","1LyjW9yT8F93bff23MJZhu",1,"spotify:track:1LyjW9yT8F93bff23MJZhu"
"FRANK SINATRA: MY WAY","https://open.spotify.com/track/3spdoTYpuCpmq19tuD0bOe","3spdoTYpuCpmq19tuD0bOe",1,"spotify:track:3spdoTYpuCpmq19tuD0bOe"
"ALANIS MORISSETTE: HEAD OVER FEET","https://open.spotify.com/track/735rjks7kQgWCjTQlIHMuH","735rjks7kQgWCjTQlIHMuH",1,"spotify:track:735rjks7kQgWCjTQlIHMuH"
"VAŠO PATEJDL: VÁNOČNÍ POSELSTVÍ","https://open.spotify.com/track/4vEE5J1mjfXAQrqeh3EJJY","4vEE5J1mjfXAQrqeh3EJJY",1,"spotify:track:4vEE5J1mjfXAQrqeh3EJJY"
"MADONNA: TIME STOOD STILL","https://open.spotify.com/track/4FBxcnOJojD1G1uDV5IGK8","4FBxcnOJojD1G1uDV5IGK8",1,"spotify:track:4FBxcnOJojD1G1uDV5IGK8"
"MELANIE C: NORTHERN STAR","https://open.spotify.com/track/1NRl73336Q4SFLH2DqurzS","1NRl73336Q4SFLH2DqurzS",2,"spotify:track:1NRl73336Q4SFLH2DqurzS"
"JAM AND SPOON, PLAVKA: KALEIDOSCOPE SKIES","https://open.spotify.com/track/2b4nfdx93GtM0iU8BvwUod","2b4nfdx93GtM0iU8BvwUod",1,"spotify:track:2b4nfdx93GtM0iU8BvwUod"
"QUEEN: BREAKTHRU","https://open.spotify.com/track/2HPvr5vD9rjbc0tejSmkkp","2HPvr5vD9rjbc0tejSmkkp",1,"spotify:track:2HPvr5vD9rjbc0tejSmkkp"
"PHIL COLLINS: EVERYDAY","https://open.spotify.com/track/1TuC2upbvZ6Ae0VE4kj8dT","1TuC2upbvZ6Ae0VE4kj8dT",1,"spotify:track:1TuC2upbvZ6Ae0VE4kj8dT"
"IVAN KRÁL: WINNER TAKES ALL","https://open.spotify.com/track/2cY9A3CGtpJCrN1L6qhMkx","2cY9A3CGtpJCrN1L6qhMkx",1,"spotify:track:2cY9A3CGtpJCrN1L6qhMkx"
"MIROSLAV ŽBIRKA: VIANOČNÁ (O PRÍMERÍ)","https://open.spotify.com/track/3Mj83kpmcPBI9RCoiAZYCM","3Mj83kpmcPBI9RCoiAZYCM",1,"spotify:track:3Mj83kpmcPBI9RCoiAZYCM"
"BILLY JOEL: SHE'S ALWAYS A WOMAN","https://open.spotify.com/track/5RgFlk1fcClZd0Y4SGYhqH","5RgFlk1fcClZd0Y4SGYhqH",1,"spotify:track:5RgFlk1fcClZd0Y4SGYhqH"
"WANASTOWI VJECY: SBÍRKA ZVADLEJCH RŮŽÍ","https://open.spotify.com/track/2NVRVBiabrTz94C3nTkbgD","2NVRVBiabrTz94C3nTkbgD",1,"spotify:track:2NVRVBiabrTz94C3nTkbgD"
"ALICE SPRINGS: PONDĚLÍ","https://open.spotify.com/track/0vxiH76JJCkShrRv3sFnwH","0vxiH76JJCkShrRv3sFnwH",1,"spotify:track:0vxiH76JJCkShrRv3sFnwH"
"BAY CITY ROLLERS: BYE BYE BABY","https://open.spotify.com/track/4nueWRW1yDz6P30pHUg9GC","4nueWRW1yDz6P30pHUg9GC",1,"spotify:track:4nueWRW1yDz6P30pHUg9GC"
"CHRIS REA: ON THE BEACH","https://open.spotify.com/track/5QrNXvTQEuBb5iLoIAAuvk","5QrNXvTQEuBb5iLoIAAuvk",1,"spotify:track:5QrNXvTQEuBb5iLoIAAuvk"
"ANNA K.: PÍSEŇ O SLZÁCH","https://open.spotify.com/track/4FIyPZUqlc6prQjw8MXqtl","4FIyPZUqlc6prQjw8MXqtl",1,"spotify:track:4FIyPZUqlc6prQjw8MXqtl"
"ANNA K: PÍSEŇ O SLZÁCH","https://open.spotify.com/track/4FIyPZUqlc6prQjw8MXqtl","4FIyPZUqlc6prQjw8MXqtl",1,"spotify:track:4FIyPZUqlc6prQjw8MXqtl"
