"song","spotify_url","spotify_track_id","n","spotify_uri"
"JAROMÍR HONZÁK: Francois Truffaut","https://open.spotify.com/track/418jYneBlhSRaKp6OIitcQ","418jYneBlhSRaKp6OIitcQ",1,"spotify:track:418jYneBlhSRaKp6OIitcQ"
"Alaa Zouiten: Hilalia","https://open.spotify.com/track/0ZTi8fWjyHHJgGoNIMROyK","0ZTi8fWjyHHJgGoNIMROyK",1,"spotify:track:0ZTi8fWjyHHJgGoNIMROyK"
"Dave Brubeck Quartet: Take Five (Paul Desmond)","https://open.spotify.com/track/3YXtwQuOeRH9Dm43x5iEkL","3YXtwQuOeRH9Dm43x5iEkL",1,"spotify:track:3YXtwQuOeRH9Dm43x5iEkL"
"Erlend Apneseth Trio: Undergrunn (Erlend Apneseth)","https://open.spotify.com/track/1LvjzBuMm6VCdAYpIgJJ9c","1LvjzBuMm6VCdAYpIgJJ9c",1,"spotify:track:1LvjzBuMm6VCdAYpIgJJ9c"
"Salif Keita & Esperanza Spalding: Chérie S'En Va","https://open.spotify.com/track/7epdbrsMNMUumVuHyX0UCu","7epdbrsMNMUumVuHyX0UCu",1,"spotify:track:7epdbrsMNMUumVuHyX0UCu"
"Our Native Daughters: Black Myself (Amythyst Kiah)","https://open.spotify.com/track/5cH2yuvqPh7IsqetGmSoAE","5cH2yuvqPh7IsqetGmSoAE",1,"spotify:track:5cH2yuvqPh7IsqetGmSoAE"
"Arturo O'Farrill & Chucho Valdés & Afro Latin Jazz Orchestra: Bebochicochuchoturo (Arturo O'Farrill & Chucho Valdés)","https://open.spotify.com/track/3sqwVDASUe1PelaJ6sCtsF","3sqwVDASUe1PelaJ6sCtsF",1,"spotify:track:3sqwVDASUe1PelaJ6sCtsF"
"DAGMAR VOŇKOVÁ: Břízy","https://open.spotify.com/track/2wSxyHDiiekJopNII9JLYs","2wSxyHDiiekJopNII9JLYs",1,"spotify:track:2wSxyHDiiekJopNII9JLYs"
"DAGMAR VOŇKOVÁ: V košilích bílých","https://open.spotify.com/track/00YjLgEQuwKZoI0AO2xOdO","00YjLgEQuwKZoI0AO2xOdO",1,"spotify:track:00YjLgEQuwKZoI0AO2xOdO"
"BILL FRISELL: Miss You","https://open.spotify.com/track/6n7KRjmIikqgkwW2FGrPjI","6n7KRjmIikqgkwW2FGrPjI",1,"spotify:track:6n7KRjmIikqgkwW2FGrPjI"
"Marta Töpferová: La Gran Manzana","https://open.spotify.com/track/6iYnrF2G2rWbVO6fzKXKSr","6iYnrF2G2rWbVO6fzKXKSr",1,"spotify:track:6iYnrF2G2rWbVO6fzKXKSr"
"Sokratis Sinopoulos Quartet: Walking (Sokratis Sinopoulos)","https://open.spotify.com/track/0mUbC9MIDBtGecCWmrfcwv","0mUbC9MIDBtGecCWmrfcwv",1,"spotify:track:0mUbC9MIDBtGecCWmrfcwv"
"Chick Corea Akoustic Band: Morning Sprite (Chick Corea)","https://open.spotify.com/track/0I7uvUlLh0Zftr2wwiivKj","0I7uvUlLh0Zftr2wwiivKj",1,"spotify:track:0I7uvUlLh0Zftr2wwiivKj"
"RADIOHEAD: You and Whose Army?","https://open.spotify.com/track/7Hg6a7tZsVTkXnBUepjZU6","7Hg6a7tZsVTkXnBUepjZU6",1,"spotify:track:7Hg6a7tZsVTkXnBUepjZU6"
"HORACE SILVER QUINTET: Strollin (Horace Silver)","https://open.spotify.com/track/6GHNUVjTvBZz5cHnsYILlR","6GHNUVjTvBZz5cHnsYILlR",1,"spotify:track:6GHNUVjTvBZz5cHnsYILlR"
"AMBROSE AKINMUSIRE: Moon","https://open.spotify.com/track/5u4LsEyBbcdEHwHZ1ouxp7","5u4LsEyBbcdEHwHZ1ouxp7",1,"spotify:track:5u4LsEyBbcdEHwHZ1ouxp7"
"BILL FRISELL: Where Do We Go?","https://open.spotify.com/track/5xWBFIIoANAH0omal0rcmi","5xWBFIIoANAH0omal0rcmi",1,"spotify:track:5xWBFIIoANAH0omal0rcmi"
"Aaron Parks: Little Big: Friendo (Aaron Parks)","https://open.spotify.com/track/4LtpNUnaLNe7UAOmZgs0Jn","4LtpNUnaLNe7UAOmZgs0Jn",1,"spotify:track:4LtpNUnaLNe7UAOmZgs0Jn"
"Ben LaMar Gay: Muhal","https://open.spotify.com/track/1Ehkfs7ocYBRXn1onRPyYz","1Ehkfs7ocYBRXn1onRPyYz",1,"spotify:track:1Ehkfs7ocYBRXn1onRPyYz"
"Ramon Goose: Futa","https://open.spotify.com/track/3gJruXrxUq2Au9HvFi4gjw","3gJruXrxUq2Au9HvFi4gjw",1,"spotify:track:3gJruXrxUq2Au9HvFi4gjw"
"Dana Sandler: On a Sunny Evening","https://open.spotify.com/track/1V5BzS5t39fZgzrjrVkBgb","1V5BzS5t39fZgzrjrVkBgb",1,"spotify:track:1V5BzS5t39fZgzrjrVkBgb"
"BOB DYLAN: False Prophet","https://open.spotify.com/track/0JBFlDivbkrskU7oYnjdIU","0JBFlDivbkrskU7oYnjdIU",1,"spotify:track:0JBFlDivbkrskU7oYnjdIU"
"MATTHEW HALSALL: I've Found Joy","https://open.spotify.com/track/5Zo8pgNElFZnIkV1hYdfI8","5Zo8pgNElFZnIkV1hYdfI8",1,"spotify:track:5Zo8pgNElFZnIkV1hYdfI8"
"Adam Nussbaum: Insight, Enlight","https://open.spotify.com/track/45v5u3tr5m8IcnjUSOKmtK","45v5u3tr5m8IcnjUSOKmtK",1,"spotify:track:45v5u3tr5m8IcnjUSOKmtK"
