"station_id","song","genre","dead"
"radiozurnal","ORCHESTR NÁRODNÍHO DIVADLA - ČESKÁ STÁTNÍ HYMNA","classical",2
"radiozurnal","ABBA - HAPPY NEW YEAR","pop",2
"radiozurnal","KRYŠTOF - TAK POJĎ HLEDAT BŘEH","pop",2
"radiozurnal","DAVID GUETTA,  SIA - FLAMES","other",2
"radiozurnal","PEHA - DEŇ MEDZI NEDELOU A PONDELKOM","pop",2
"radiozurnal","AEROSMITH - CRAZY","rock",2
"radiozurnal","ED SHEERAN - SHAPE OF YOU","other",1
"radiozurnal","WANASTOWI VJECY - JEDINÁ","rock",2
"radiozurnal","X AMBASSADORS - RENEGADES","pop",2
"radiozurnal","R.E.M. - THE ONE I LOVE","rock",2
"radiozurnal","LOST FREQUENCIES,  ZONDERLING - CRAZY","other",2
"radiozurnal","PAUL McCARTNEY - YOUNG BOY","pop",1
"radiozurnal","XINDL X - V BLBÝM VĚKU","other",1
"radiozurnal","MUMFORD & SONS - GUIDING LIGHT","other",2
"radiozurnal","RIGHTEOUS BROTHERS - UNCHAINED MELODY","rock",2
"radiozurnal","LUIS FONSI,  DADDY YANKEE - DESPACITO","other",2
"radiozurnal","SLADE - MY OH MY","rock",2
"radiozurnal","CALUM SCOTT - WHAT I MISS MOST","pop",1
"radiozurnal","UB 40 - KINGSTON TOWN","other",2
"radiozurnal","MAREK ZTRACENÝ - VLASTNÍ SVĚT","*core",1
"radiozurnal","COOLIO - C U WHEN U GET THERE","hip-hop",1
"radiozurnal","NICKY JAM,  ENRIQUE INGLESIAS - EL PERDÓN","other",2
"radiozurnal","MICHAEL JACKSON - REMEMBER THE TIME","pop",0
"radiozurnal","PETER BIČ PROJECT - WHERE DID YOU GO","pop",2
"radiozurnal","IVAN HLAS - TIP,TA,DÝDA...(KARLÍN)","rock",1
"radiozurnal","FRANS - IF I WERE SORRY","pop",2
"radiozurnal","KATRINA & WAVES - LOVE SHINE A LIGHT","other",2
