"station_id","song","genre"
"radiozurnal","ORCHESTR NÁRODNÍHO DIVADLA - ČESKÁ STÁTNÍ HYMNA","classical"
"radiozurnal","ABBA - HAPPY NEW YEAR","pop"
"radiozurnal","KRYŠTOF - TAK POJĎ HLEDAT BŘEH","pop"
"radiozurnal","DAVID GUETTA,  SIA - FLAMES","other"
"radiozurnal","PEHA - DEŇ MEDZI NEDELOU A PONDELKOM","pop"
"radiozurnal","AEROSMITH - CRAZY","rock"
"radiozurnal","ED SHEERAN - SHAPE OF YOU","other"
"radiozurnal","WANASTOWI VJECY - JEDINÁ","rock"
"radiozurnal","X AMBASSADORS - RENEGADES","pop"
"radiozurnal","R.E.M. - THE ONE I LOVE","rock"
"radiozurnal","LOST FREQUENCIES,  ZONDERLING - CRAZY","other"
"radiozurnal","PAUL McCARTNEY - YOUNG BOY","pop"
"radiozurnal","XINDL X - V BLBÝM VĚKU","other"
"radiozurnal","MUMFORD & SONS - GUIDING LIGHT","other"
"radiozurnal","RIGHTEOUS BROTHERS - UNCHAINED MELODY","rock"
"radiozurnal","LUIS FONSI,  DADDY YANKEE - DESPACITO","other"
"radiozurnal","SLADE - MY OH MY","rock"
"radiozurnal","CALUM SCOTT - WHAT I MISS MOST","pop"
"radiozurnal","UB 40 - KINGSTON TOWN","other"
"radiozurnal","MAREK ZTRACENÝ - VLASTNÍ SVĚT","*core"
"radiozurnal","COOLIO - C U WHEN U GET THERE","hip-hop"
"radiozurnal","NICKY JAM,  ENRIQUE INGLESIAS - EL PERDÓN","other"
"radiozurnal","MICHAEL JACKSON - REMEMBER THE TIME","pop"
"radiozurnal","PETER BIČ PROJECT - WHERE DID YOU GO","pop"
"radiozurnal","IVAN HLAS - TIP,TA,DÝDA...(KARLÍN)","rock"
"radiozurnal","FRANS - IF I WERE SORRY","pop"
"radiozurnal","KATRINA & WAVES - LOVE SHINE A LIGHT","other"
"radiozurnal","KODALINE - FOLLOW YOUR FIRE","rock"
"radiozurnal","JENNIFER RUSH - DESTINY","pop"
"radiozurnal","MATT SIMONS - CATCH & RELEASE","pop"
"radiozurnal","EVERYTHING BUT THE GIRL - MISSING","electronic"
"radiozurnal","ONE REPUBLIC - I LIVED","pop"
"radiozurnal","COLESKE - TAKE ME WHERE SUN IS SHINING","pop"
"radiozurnal","TRAVIS - CLOSER","pop"
"radiozurnal","MIROSLAV ŽBIRKA - BALADA O POLNÝCH VTÁKOCH","other"
"radiozurnal","P!NK - BEAUTIFUL TRAUMA","pop"
"radiozurnal","GEORGE EZRA - BLAME IT ON ME","other"
"radiozurnal","MARTIKA - TOY SOLDIERS","pop"
"radiozurnal","IMAGINE DRAGONS - NEXT TO ME","pop"
"radiozurnal","DAN BÁRTA - PÍSEŇ HRABOŠE","rock"
"radiozurnal","NICK CAVE, KYLIE MINOGUE - WHERE THE WILD ROSES GROW","other"
"radiozurnal","JAMES BLUNT - 1973","pop"
"radiozurnal","PHIL COLLINS - DANCE INTO THE LIGHT","pop"
"radiozurnal","NICO SANTOS - ROOFTOP","pop"
"radiozurnal","CELINE DION - ALL BY MYSELF","pop"
"radiozurnal","FEARGAL SHARKEY - A GOOD HEART","pop"
"radiozurnal","HIM - JOIN ME","rock"
"radiozurnal","JASON MRAZ - HAVE IT ALL","pop"
