"station_id","song","genre_category","spotify_track_id"
"RZ","MADONNA - JUMP","pop","5hmRhU6fWzH0NjYmfhHjhp"
"RZ","KALEO - I WANT MORE","rock","4xQRRue5qsu2tULiz7UDKi"
"RZ","PEABO BRYSON,  ROBERTA FLACK - TONIGHT,I CELEBRATE MY LOVE","other","7JOyY9GA3P2Evx50oetDKb"
"RZ","JUSTIN BIEBER - LOVE YOURSELF","pop","50kpGaPAhYJ3sGmk6vplg0"
"RZ","IMAGINE DRAGONS - I BET MY LIFE","pop","15DrrIod12Tc2IoMaHiwlQ"
"RZ","ANETA LANGEROVÁ - BÍLÝ DEN","pop","1F771eabWy7qTN2VufTEBj"
"RZ","JOE COCKER - N'OUBLIEZ JAMAIS","rock","1uLBV01mO4YMeoUQ3jhyQn"
"RZ","NELLY FURTADO - SAY IT RIGHT","pop","5AtFypwxB2ShXSxNj12dEd"
"RZ","ELTON JOHN - ROCKET MAN","rock","3gdewACMIVMEWVbyb8O9sY"
"RZ","FOSTER THE PEOPLE - SIT NEXT TO ME","pop","4BdGO1CaObRD4La9l5Zanz"
"RZ","MIRAI - CESTA Z MĚSTA","pop","33EfwGUFU1Q3RI1AyWalnv"
"RZ","INXS - BABY DON'T CRY","pop","3RIQazrLVpi7VqCB1oKm6R"
"RZ","LP - SHAKEN","pop","33Vpz0V1ytEaRQuIb1LqGv"
"RZ","JOHN LENNON - WOMAN","rock","0GGxVTb0UwDwdaKNjBdCn3"
"RZ","MAREK ZTRACENÝ - ZTRÁCÍŠ","pop","4hYTOrxDjz17f66a1qrd43"
"RZ","JAMES ARTHUR - IMPOSSIBLE","pop","5yVIlYEHZxQVLyInCdldoS"
"RZ","P!NK - WALK ME HOME","pop","7DHApOHsIFo7EyfieArYGE"
"RZ","BRUCE SPRINGSTEEN - STREETS OF PHILADELPHIA","rock","3fbnbn6A5O5RNb08tlUEgd"
"RZ","LINKIN PARK - LEAVE OUT ALL THE REST","hip-hop","0sp00HSXkQyqTa6QqM0O8V"
"RZ","MURRAY HEAD - ONE NIGHT IN BANGKOK","pop","6erBowZaW6Ur3vNOWhS2zM"
"RZ","COLDPLAY - IN MY PLACE","pop","2nvC4i2aMo4CzRjRflysah"
"RZ","KATY PERRY,  SKIP MARLEY - CHAINED TO THE RHYTHM","other","7qvxFz3JodM0A7xEM7k3YD"
"RZ","POKÁČ,  B-SIDE BAND - CO Z TEBE BUDE","other","47dGfwBOe4OcI0byqcncDA"
"RZ","MAROON 5 - MEMORIES","pop","2b8fOow8UzyDFAE27YhOZM"
"RZ","STRANGLERS - ALWAYS THE SUN","pop","10BQIOZ8dhGwOOGBVA97qz"
"RZ","GWEN STEFANI - COOL","pop","469RmLzEsicj8VSn9aIuKV"
"RZ","ROBBIE WILLIAMS - ANGELS","pop","7fH9ZS8gezOtky5bkYHvCN"
"RZ","MORCHEEBA - ROME WASN'T BUILT IN A DAY","electronic","6lsumzVFKP9SnfKcuGwqVp"
"RZ","FALCO - COMING HOME (JEANNY PART 2)","other",NA
"RZ","JP COOPER,  ASTRID S - SING IT WITH ME","other","6JA7luAMEbqSI2VZe5mLHg"
"RZ","CRANBERRIES - DREAMS","pop","4JGKZS7h4Qa16gOU3oNETV"
"RZ","ZUZANA MICHNOVÁ, MARSYAS - S LUISEM","other","1emKLS0BC1qc116TWXekIY"
"RZ","AVRIL LAVIGNE - COMPLICATED","pop","5xEM5hIgJ1jjgcEBfpkt2F"
"RZ","VANCE JOY - RIPTIDE","pop","3JvrhDOgAt6p7K8mDyZwRd"
"RZ","DEPECHE MODE - IT'S NO GOOD","pop","04ARYAWkGZZhDbHqgvnYGf"
"RZ","MILOW - WHATEVER IT TAKES","pop","23QRXw4bjuThtedOYKx8IS"
"RZ","KIM WILDE - CAMBODIA","pop","2Sh3g4QYQrIAsvgfTXmSaX"
"RZ","A GREAT BIG WORLD,  CHRISTINA AGUILERA - SAY SOMETHING","other","6Vc5wAMmXdKIAM7WUoEb7N"
"RZ","CAPITAL CITIES - ONE MINUTE MORE","other","0NYLOvWtvJdyeceDD9R1Vw"
"RZ","LUCIE BÍLÁ - TENKOU NITÍ","pop","0NOCFxjfpAxkK5aeNQ483e"
"RZ","CHRIS REA - JULIA","pop","2BJisIDvDQz6poQgAlpmWz"
"RZ","DIDO - HUNTER","pop","49HyHz6uWXHV6GT8bhX3t9"
"RZ","ROBERT PALMER - JOHNNY AND MARY","pop","3VHFkxbekZQF7xLRd7KjgL"
"RZ","LIMP BIZKIT - BEHIND BLUE EYES","hip-hop","1MTQHCpraD4S8g5PAFKzoj"
"RZ","GABRIELLA CILMI - SWEET ABOUT ME","pop","0aeWFHCKwVoavQdpduyB1Q"
"RZ","MIROSLAV ŽBIRKA - SLOVENSKÁ","other",NA
